Ball-Number,Commentary,Date and Time,over,ball,runs,happend_on_ball,extra
41.2,"Lyon to Hanuma Vihari, 1 run, wristed down the ground to long-on for a single","Dec 18, 2018 7:49:52 AM",41,2,1.0,,0
41.1,"Lyon to Hanuma Vihari, no run, tossed up delivery outside off and has been left alone","Dec 18, 2018 7:49:30 AM",41,1,0.0,,0
40.6,"Starc to Pant, no run, fine leg, short leg for the final ball of the day and Starc does the double-bluff, sets the field for a short ball, but bowls an inswinging yorker, Pant was expecting that, defended well and smiles at the bowler","Dec 17, 2018 3:24:32 PM",40,6,0.0,,0
40.5,"Starc to Pant, no run, full and outside off stump, Pant drives it to mid-off","Dec 17, 2018 3:23:27 PM",40,5,0.0,,0
40.4,"Starc to Pant, no run, mistimed one-handed push to cover from Pant","Dec 17, 2018 3:22:47 PM",40,4,0.0,,0
40.3,"Starc to Pant, no run, poor poke for a defence, fullish delivery outside off stump, Pant leans forward to defend, but played away from the body","Dec 17, 2018 3:22:05 PM",40,3,0.0,,0
40.2,"Starc to Pant, no run, short and wide outside off stump, left alone","Dec 17, 2018 3:21:23 PM",40,2,0.0,,0
40.1,"Starc to Pant, no run, short of length delivery down the leg-side, Pant misses the glance, Paine collects","Dec 17, 2018 3:20:50 PM",40,1,0.0,,0
39.6,"Lyon to Hanuma Vihari, no run, oh almost takes the glove, flighted delivery outside off stump, Vihari covers the stumps and shoulders arms, sharp turn and bounce, Paine couldn't collect","Dec 17, 2018 3:19:50 PM",39,6,0.0,,0
39.5,"Lyon to Hanuma Vihari, no run, shortish delivery on the stumps, Vihari defends","Dec 17, 2018 3:19:29 PM",39,5,0.0,,0
39.4,"Lyon to Hanuma Vihari, no run, gets a good stride forward to defend this flighted delivery","Dec 17, 2018 3:19:06 PM",39,4,0.0,,0
39.3,"Lyon to Pant, 1 run, what was that from Pant? This could be the final over of the day, but he races down the track and slogs despite not being to the pitch of the ball, the ball nearly carries to short mid-wicket, who dives and gets a hand on the ball","Dec 17, 2018 3:18:35 PM",39,3,1.0,,0
39.2,"Lyon to Pant, no run, bounce outside off stump, but Pant didn't offer a shot","Dec 17, 2018 3:17:57 PM",39,2,0.0,,0
39.1,"Lyon to Pant, 2 runs, slider from round the wicket, Pant defends and gets an inside edge that rolls behind square on the on-side, the drift almost did him there","Dec 17, 2018 3:17:36 PM",39,1,2.0,,0
38.6,"Starc to Hanuma Vihari, no run, short and down the leg-side, left alone","Dec 17, 2018 3:16:28 PM",38,6,0.0,,0
38.5,"Starc to Hanuma Vihari, no run, short of length delivery just outside off stump, Vihari defends off the back foot","Dec 17, 2018 3:15:49 PM",38,5,0.0,,0
38.4,"Starc to Hanuma Vihari, no run, short and down the leg-side, Vihari tries to pull it away, misses","Dec 17, 2018 3:15:12 PM",38,4,0.0,,0
38.3,"Starc to Pant, 1 run, short of length delivery on the leg stump, Pant flicks it to long leg","Dec 17, 2018 3:14:27 PM",38,3,1.0,,0
38.2,"Starc to Pant, no run, shortish delivery outside off stump, Pant lets it pass","Dec 17, 2018 3:13:48 PM",38,2,0.0,,0
38.1,"Starc to Pant, 2 runs, chipped in the airrr but wide of the man at point, good length delivery just outside off stump, Pant tries to defend, the ball goes off the leading edge, went with hard hands there","Dec 17, 2018 3:13:14 PM",38,1,2.0,,0
37.6,"Lyon to Hanuma Vihari, no run, fullish delivery outside off stump, Vihari leans forward and defends","Dec 17, 2018 3:12:13 PM",37,6,0.0,,0
37.5,"Lyon to Hanuma Vihari, no run, shortish delivery outside off stump, left alone","Dec 17, 2018 3:11:50 PM",37,5,0.0,,0
37.4,"Lyon to Hanuma Vihari, no run, flighted delivery outside off stump, Vihari leans forward and drives it to cover","Dec 17, 2018 3:11:33 PM",37,4,0.0,,0
37.3,"Lyon to Hanuma Vihari, no run, the slider, but it's hit a crack and moved away from the right-hander, Vihari didn't offer a shot though","Dec 17, 2018 3:11:10 PM",37,3,0.0,,0
37.2,"Lyon to Hanuma Vihari, no run, goes back and punches this incoming ball to point","Dec 17, 2018 3:10:52 PM",37,2,0.0,,0
37.1,"Lyon to Pant, 1 run, short and wide outside off stump, Pant cuts it to deep cover","Dec 17, 2018 3:10:29 PM",37,1,1.0,,0
36.6,"Starc to Hanuma Vihari, <b>FOUR</b>, shortish delivery down the leg-side, Vihari tries to defend, the ball rolls to fine leg off the glove","Dec 17, 2018 3:09:35 PM",36,6,,,0
36.5,"Starc to Hanuma Vihari, no run, short of length delivery on the stumps, Vihari defends","Dec 17, 2018 3:09:05 PM",36,5,0.0,,0
36.4,"Starc to Pant, 1 run, driven away to mid-off","Dec 17, 2018 3:08:56 PM",36,4,1.0,,0
36.3,"Starc to Pant, no run, another one past the edge, good length delivery outside off stump, Pant leans forward to block, this is almost 140kph and he had no clue about it","Dec 17, 2018 3:08:27 PM",36,3,0.0,,0
36.2,"Starc to Pant, no run, oh hit on the thigh pad, incoming short of length delivery, Pant is beaten for pace, tried to defend, but the pace and bounce off the pitch troubled him there","Dec 17, 2018 3:06:39 PM",36,2,0.0,,0
36.1,"Starc to Pant, no run, beaten, Pant was on the front foot to defend, but this fullish ball moves away late and goes past the bat","Dec 17, 2018 3:06:04 PM",36,1,0.0,,0
35.6,"Lyon to Pant, 1 run, short and wide outside off stump, Pant cuts it to deep point","Dec 17, 2018 3:04:22 PM",35,6,1.0,,0
35.5,"Lyon to Hanuma Vihari, 1 run, nice drive off the front foot, but the fielder at mid-off dives to his left and makes a good save","Dec 17, 2018 3:03:45 PM",35,5,1.0,,0
35.4,"Lyon to Hanuma Vihari, no run, paddled away, but backward square is in position and he's very fine","Dec 17, 2018 3:03:21 PM",35,4,0.0,,0
35.3,"Lyon to Hanuma Vihari, no run, defended off the back foot","Dec 17, 2018 3:02:59 PM",35,3,0.0,,0
35.2,"Lyon to Hanuma Vihari, no run, shortish delivery outside off stump, Vihari punches it towards cover-point","Dec 17, 2018 3:02:37 PM",35,2,0.0,,0
35.1,"Lyon to Hanuma Vihari, no run, ohh almost through, Vihari exposed the sticks and tried to sweep, the ball hit the glove","Dec 17, 2018 3:02:07 PM",35,1,0.0,,0
34.6,"Hazlewood to Pant, no run, oh short and down the leg-side, ignored, good take from Paine, moved to his left quickly despite being wrong footed","Dec 17, 2018 3:00:45 PM",34,6,0.0,,0
34.5,"Hazlewood to Rahane, <b>out</b> Caught by Head!! Oh no! You got to be kidding me! Nothing ball and Rahane has smashed this straight to hand. Good length delivery outside off stump, Rahane hit that hard, timed it from the middle of the bat, but finds Head at point and that's a good catch taken around head height with the sun almost in his eyes. India are five down and a win probably looks out of reach now. <b>Rahane c Head b Hazlewood 30(47) [4s-2 6s-1]</b>","Dec 17, 2018 2:58:01 PM",34,5,,W,0
34.4,"Hazlewood to Rahane, no run, good length delivery on the off stump, Rahane defends off the back foot","Dec 17, 2018 2:57:05 PM",34,4,0.0,,0
34.3,"Hazlewood to Rahane, no run, oh hit on the thigh pad, but the ball moves back in and cramps Rahane on the flick","Dec 17, 2018 2:56:26 PM",34,3,0.0,,0
34.2,"Hazlewood to Rahane, no run, short delivery on the stumps, Rahane looks to pull/hook, the ball bounced steeply and also came back in a touch to force Rahane out of the way at the last moment","Dec 17, 2018 2:55:47 PM",34,2,0.0,,0
34.1,"Hazlewood to Rahane, no run, shortish delivery outside off stump, Rahane looks to cut, hits it into the pitch, the ball bounces to gully","Dec 17, 2018 2:55:02 PM",34,1,0.0,,0
33.6,"Pat Cummins to Hanuma Vihari, no run, outswinger outside off stump, Vihari shoulders arms","Dec 17, 2018 2:53:54 PM",33,6,0.0,,0
33.5,"Pat Cummins to Hanuma Vihari, no run, short of length delivery on the stumps, Vihari defends to short mid-wicket","Dec 17, 2018 2:53:16 PM",33,5,0.0,,0
33.4,"Pat Cummins to Rahane, 1 run, pulled away, but Rahane manages to control this short ball, sends it behind square on the on-side","Dec 17, 2018 2:52:40 PM",33,4,1.0,,0
33.3,"Pat Cummins to Rahane, no run, good length delivery on the stumps, Rahane defends off the back foot","Dec 17, 2018 2:51:49 PM",33,3,0.0,,0
33.2,"Pat Cummins to Rahane, no run, closer to off, limited feet movement from Rahane to defend it on the off-side","Dec 17, 2018 2:51:08 PM",33,2,0.0,,0
33.1,"Pat Cummins to Rahane, no run, back of a length delivery holding its line outside off, left alone","Dec 17, 2018 2:50:31 PM",33,1,0.0,,0
32.6,"Hazlewood to Hanuma Vihari, no run, pitched up, cleanly driven, but straight to mid-off. A maiden over!","Dec 17, 2018 2:49:20 PM",32,6,0.0,,0
32.5,"Hazlewood to Hanuma Vihari, no run, decks in from a length and gets hit on the front pad adjacent to the sticks. However, there was a faint inside edge before that - hence no appeal from the Australians. He was struck above the knee-roll, so height would have been a factor had there been no bat","Dec 17, 2018 2:48:36 PM",32,5,0.0,,0
32.4,"Hazlewood to Hanuma Vihari, no run, zippy bouncer, Vihari hunkers under it","Dec 17, 2018 2:47:57 PM",32,4,0.0,,0
32.3,"Hazlewood to Hanuma Vihari, no run, on a good length, Vihari bunts it to mid-on","Dec 17, 2018 2:47:16 PM",32,3,0.0,,0
32.2,"Hazlewood to Hanuma Vihari, no run, fuller than a good length, a compact defence off the front foot follows","Dec 17, 2018 2:46:37 PM",32,2,0.0,,0
32.1,"Hazlewood to Hanuma Vihari, no run, pushes a fullish ball to mid-on","Dec 17, 2018 2:45:57 PM",32,1,0.0,,0
31.6,"Pat Cummins to Rahane, no run, a hop followed by a defensive tap towards point with soft hands against a short of length delivery","Dec 17, 2018 2:44:59 PM",31,6,0.0,,0
